"age","gender","race","N"
62,"Female","Non_Hispanic_Black",192198
63,"Female","Non_Hispanic_Black",182440
64,"Female","Non_Hispanic_Black",146885
65,"Female","Non_Hispanic_Black",146883
66,"Female","Non_Hispanic_Black",138013
67,"Female","Non_Hispanic_Black",136685
68,"Female","Non_Hispanic_Black",123436
69,"Female","Non_Hispanic_Black",117099
70,"Female","Non_Hispanic_Black",113460
71,"Female","Non_Hispanic_Black",102649
72,"Female","Non_Hispanic_Black",99437
73,"Female","Non_Hispanic_Black",93022
74,"Female","Non_Hispanic_Black",91252
75,"Female","Non_Hispanic_Black",87293
76,"Female","Non_Hispanic_Black",79585
77,"Female","Non_Hispanic_Black",76432
78,"Female","Non_Hispanic_Black",70882
79,"Female","Non_Hispanic_Black",66033
80,"Female","Non_Hispanic_Black",65243
81,"Female","Non_Hispanic_Black",59112
82,"Female","Non_Hispanic_Black",55422
83,"Female","Non_Hispanic_Black",51520
84,"Female","Non_Hispanic_Black",47806
85,"Female","Non_Hispanic_Black",40035
86,"Female","Non_Hispanic_Black",36583
87,"Female","Non_Hispanic_Black",33090
88,"Female","Non_Hispanic_Black",29747
89,"Female","Non_Hispanic_Black",26254
90,"Female","Non_Hispanic_Black",22271
91,"Female","Non_Hispanic_Black",19041
92,"Female","Non_Hispanic_Black",15941
93,"Female","Non_Hispanic_Black",13074
94,"Female","Non_Hispanic_Black",11064
95,"Female","Non_Hispanic_Black",7940
96,"Female","Non_Hispanic_Black",6368
97,"Female","Non_Hispanic_Black",4734
98,"Female","Non_Hispanic_Black",3638
99,"Female","Non_Hispanic_Black",2770
